month_start,year,month,year_month,state,fatalities
1991-09-01,1991,9,1991-09,WA,18
1991-10-01,1991,10,1991-10,ACT,1
1991-10-01,1991,10,1991-10,NSW,57
1991-10-01,1991,10,1991-10,NT,1
1991-10-01,1991,10,1991-10,QLD,31
1991-10-01,1991,10,1991-10,SA,21
1991-10-01,1991,10,1991-10,TAS,6
1991-10-01,1991,10,1991-10,VIC,36
1991-10-01,1991,10,1991-10,WA,24
1991-11-01,1991,11,1991-11,NSW,49
1991-11-01,1991,11,1991-11,NT,8
1991-11-01,1991,11,1991-11,QLD,41
1991-11-01,1991,11,1991-11,SA,16
1991-11-01,1991,11,1991-11,TAS,6
1991-11-01,1991,11,1991-11,VIC,35
1991-11-01,1991,11,1991-11,WA,11
1991-12-01,1991,12,1991-12,NSW,56
1991-12-01,1991,12,1991-12,NT,1
1991-12-01,1991,12,1991-12,QLD,36
1991-12-01,1991,12,1991-12,SA,16
1991-12-01,1991,12,1991-12,TAS,5
1991-12-01,1991,12,1991-12,VIC,53
1991-12-01,1991,12,1991-12,WA,23
1992-01-01,1992,1,1992-01,ACT,1
1992-01-01,1992,1,1992-01,NSW,55
1992-01-01,1992,1,1992-01,NT,5
1992-01-01,1992,1,1992-01,QLD,34
1992-01-01,1992,1,1992-01,SA,23
1992-01-01,1992,1,1992-01,TAS,7
1992-01-01,1992,1,1992-01,VIC,34
1992-01-01,1992,1,1992-01,WA,16
1992-02-01,1992,2,1992-02,ACT,2
1992-02-01,1992,2,1992-02,NSW,56
1992-02-01,1992,2,1992-02,NT,14
1992-02-01,1992,2,1992-02,QLD,19
1992-02-01,1992,2,1992-02,SA,12
1992-02-01,1992,2,1992-02,TAS,4
1992-02-01,1992,2,1992-02,VIC,33
1992-02-01,1992,2,1992-02,WA,8
1992-03-01,1992,3,1992-03,ACT,1
1992-03-01,1992,3,1992-03,NSW,56
1992-03-01,1992,3,1992-03,NT,2
1992-03-01,1992,3,1992-03,QLD,22
1992-03-01,1992,3,1992-03,SA,21
1992-03-01,1992,3,1992-03,TAS,5
1992-03-01,1992,3,1992-03,VIC,34
1992-03-01,1992,3,1992-03,WA,20
1992-04-01,1992,4,1992-04,ACT,4
1992-04-01,1992,4,1992-04,NSW,47
1992-04-01,1992,4,1992-04,NT,8
1992-04-01,1992,4,1992-04,QLD,43
1992-04-01,1992,4,1992-04,SA,17
1992-04-01,1992,4,1992-04,TAS,7
1992-04-01,1992,4,1992-04,VIC,47
1992-04-01,1992,4,1992-04,WA,12
1992-05-01,1992,5,1992-05,ACT,2
1992-05-01,1992,5,1992-05,NSW,41
1992-05-01,1992,5,1992-05,NT,4
1992-05-01,1992,5,1992-05,QLD,40
1992-05-01,1992,5,1992-05,SA,15
1992-05-01,1992,5,1992-05,TAS,2
1992-05-01,1992,5,1992-05,VIC,33
1992-05-01,1992,5,1992-05,WA,15
1992-06-01,1992,6,1992-06,ACT,2
1992-06-01,1992,6,1992-06,NSW,59
1992-06-01,1992,6,1992-06,NT,1
1992-06-01,1992,6,1992-06,QLD,43
1992-06-01,1992,6,1992-06,SA,9
1992-06-01,1992,6,1992-06,TAS,9
1992-06-01,1992,6,1992-06,VIC,29
1992-06-01,1992,6,1992-06,WA,16
1992-07-01,1992,7,1992-07,ACT,2
1992-07-01,1992,7,1992-07,NSW,53
1992-07-01,1992,7,1992-07,NT,2
1992-07-01,1992,7,1992-07,QLD,37
1992-07-01,1992,7,1992-07,SA,22
1992-07-01,1992,7,1992-07,TAS,2
1992-07-01,1992,7,1992-07,VIC,23
1992-07-01,1992,7,1992-07,WA,18
1992-08-01,1992,8,1992-08,ACT,2
1992-08-01,1992,8,1992-08,NSW,65
1992-08-01,1992,8,1992-08,NT,2
1992-08-01,1992,8,1992-08,QLD,37
1992-08-01,1992,8,1992-08,SA,13
1992-08-01,1992,8,1992-08,TAS,3
1992-08-01,1992,8,1992-08,VIC,27
1992-08-01,1992,8,1992-08,WA,8
1992-09-01,1992,9,1992-09,ACT,2
1992-09-01,1992,9,1992-09,NSW,50
1992-09-01,1992,9,1992-09,QLD,29
1992-09-01,1992,9,1992-09,SA,6
1992-09-01,1992,9,1992-09,TAS,4
1992-09-01,1992,9,1992-09,VIC,28
1992-09-01,1992,9,1992-09,WA,29
1992-10-01,1992,10,1992-10,ACT,1
1992-10-01,1992,10,1992-10,NSW,62
1992-10-01,1992,10,1992-10,NT,5
1992-10-01,1992,10,1992-10,QLD,37
1992-10-01,1992,10,1992-10,SA,11
1992-10-01,1992,10,1992-10,TAS,20
1992-10-01,1992,10,1992-10,VIC,38
1992-10-01,1992,10,1992-10,WA,19
1992-11-01,1992,11,1992-11,NSW,55
1992-11-01,1992,11,1992-11,NT,4
1992-11-01,1992,11,1992-11,QLD,35
1992-11-01,1992,11,1992-11,SA,6
1992-11-01,1992,11,1992-11,TAS,4
1992-11-01,1992,11,1992-11,VIC,30
1992-11-01,1992,11,1992-11,WA,17
1992-12-01,1992,12,1992-12,ACT,1
1992-12-01,1992,12,1992-12,NSW,50
1992-12-01,1992,12,1992-12,NT,7
1992-12-01,1992,12,1992-12,QLD,40
1992-12-01,1992,12,1992-12,SA,10
1992-12-01,1992,12,1992-12,TAS,7
1992-12-01,1992,12,1992-12,VIC,40
1992-12-01,1992,12,1992-12,WA,22
1993-01-01,1993,1,1993-01,NSW,44
1993-01-01,1993,1,1993-01,NT,2
1993-01-01,1993,1,1993-01,QLD,29
1993-01-01,1993,1,1993-01,SA,20
1993-01-01,1993,1,1993-01,TAS,8
1993-01-01,1993,1,1993-01,VIC,26
1993-01-01,1993,1,1993-01,WA,8
1993-02-01,1993,2,1993-02,ACT,1
1993-02-01,1993,2,1993-02,NSW,31
1993-02-01,1993,2,1993-02,NT,1
1993-02-01,1993,2,1993-02,QLD,34
1993-02-01,1993,2,1993-02,SA,14
1993-02-01,1993,2,1993-02,TAS,4
